timestamp(ms),wx,wy,wz,ax,ay,az,temperature
1830956,0.4268,0.3659,0.7317,0.0388,-0.0034,0.9653,42.2
1830966,0.9146,0.4268,0.5488,0.0466,-0.0005,0.9670,42.2
1830976,0.7927,0.5488,0.4268,0.0459,-0.0012,0.9695,42.3
1830986,0.4878,0.4878,0.6098,0.0479,0.0046,0.9656,42.3
1830996,0.4268,0.4268,0.7317,0.0454,0.0068,0.9614,42.2
1831006,0.8537,0.5488,0.3659,0.0481,0.0046,0.9634,42.2
1831016,0.5488,0.6098,0.6098,0.0474,0.0017,0.9685,42.3
1831026,0.5488,0.5488,0.5488,0.0488,0.0054,0.9641,42.2
1831036,0.4268,0.4878,0.4878,0.0383,0.0059,0.9692,42.2
1831046,0.9756,0.5488,0.4878,0.0437,-0.0029,0.9636,42.2
1831056,0.7317,0.5488,0.6098,0.0454,0.0042,0.9668,42.2
1831066,0.5488,0.6098,0.6098,0.0403,0.0007,0.9685,42.2
1831076,0.4268,0.4878,0.6098,0.0432,0.0059,0.9685,42.2
1831086,0.9756,0.5488,0.4268,0.0449,0.0002,0.9697,42.2
1831096,0.7317,0.7317,0.3659,0.0427,0.0110,0.9595,42.2
1831106,0.5488,0.4878,0.8537,0.0498,0.0034,0.9678,42.2
1831116,0.5488,0.4878,0.4878,0.0393,0.0017,0.9680,42.2
1831126,0.7927,0.6707,0.4878,0.0435,0.0005,0.9714,42.2
1831136,0.8537,0.5488,0.4268,0.0420,0.0000,0.9644,42.3
1831146,0.4878,0.4878,0.6707,0.0437,-0.0056,0.9656,42.2
1831156,0.4878,0.4268,0.7317,0.0386,0.0007,0.9717,42.2
1831166,0.8537,0.4268,0.4878,0.0371,0.0027,0.9727,42.2
1831176,0.6707,0.6707,0.6098,0.0391,0.0042,0.9619,42.2
1831186,0.3659,0.3659,0.6707,0.0354,-0.0017,0.9639,42.2
1831196,0.4878,0.4878,0.6707,0.0381,0.0046,0.9651,42.2
1831206,1.1585,0.4878,0.5488,0.0383,0.0071,0.9651,42.2
1831216,0.5488,0.6707,0.4878,0.0364,0.0032,0.9697,42.2
1831226,0.4878,0.4268,0.6707,0.0444,0.0051,0.9587,42.1
1831236,0.5488,0.3049,0.4878,0.0405,0.0007,0.9653,42.1
1831246,0.9756,0.4268,0.4878,0.0383,-0.0032,0.9629,42.2
1831256,0.5488,0.6707,0.6707,0.0459,0.0090,0.9700,42.3
1831266,0.4878,0.4268,0.5488,0.0444,0.0024,0.9675,42.3
1831276,0.4878,0.3049,0.6707,0.0378,0.0032,0.9719,42.3
1831286,1.0366,0.5488,0.4268,0.0413,-0.0012,0.9678,42.3
1831296,0.3659,0.6098,0.6098,0.0432,0.0046,0.9651,42.2
1831306,0.6707,0.4268,0.7927,0.0364,-0.0017,0.9697,42.2
1831316,0.3659,0.2439,0.5488,0.0464,0.0034,0.9697,42.2
1831326,0.9146,0.6098,0.4878,0.0391,0.0039,0.9771,42.3
1831336,0.6098,0.4878,0.4268,0.0466,0.0005,0.9675,42.3
1831346,0.6707,0.3659,0.6707,0.0447,0.0042,0.9741,42.2
1831356,0.3659,0.4878,0.5488,0.0437,-0.0007,0.9612,42.3
1831366,0.9756,0.5488,0.3049,0.0430,0.0024,0.9639,42.2
1831376,0.5488,0.5488,0.3659,0.0391,-0.0012,0.9661,42.2
1831386,0.5488,0.3659,0.4878,0.0454,-0.0046,0.9766,42.1
1831396,0.4268,0.3049,0.6098,0.0461,0.0090,0.9685,42.2
1831406,0.9756,0.6098,0.5488,0.0435,0.0024,0.9648,42.2
1831416,0.6707,0.6707,0.5488,0.0420,0.0022,0.9697,42.2
1831426,0.5488,0.4878,0.6098,0.0403,-0.0037,0.9712,42.2
1831436,0.6098,0.5488,0.4878,0.0403,0.0046,0.9631,42.2
1831446,0.7927,0.6707,0.3049,0.0405,0.0024,0.9714,42.2
1831456,0.6707,0.6098,0.4268,0.0374,0.0037,0.9668,42.2
1831466,0.4268,0.4878,0.5488,0.0439,-0.0039,0.9729,42.3
1831476,0.4268,0.4268,0.6098,0.0437,0.0115,0.9712,42.2
1831486,0.7317,0.4878,0.4268,0.0417,0.0054,0.9629,42.2
1831496,0.7317,0.5488,0.3659,0.0464,0.0042,0.9587,42.2
1831506,0.4878,0.4878,0.4268,0.0413,0.0007,0.9712,42.2
1831516,0.4268,0.3049,0.5488,0.0430,0.0007,0.9641,42.2
1831526,0.9756,0.6098,0.4268,0.0408,-0.0015,0.9709,42.2
1831536,0.5488,0.5488,0.7317,0.0408,0.0034,0.9744,42.2
1831546,0.5488,0.4268,0.6098,0.0449,0.0076,0.9639,42.2
